date,Day_Hour,name
14/12/2020,20, Cota
14/12/2020,20, Diego
14/12/2020,20, Cota
14/12/2020,20, Cota
14/12/2020,20, Cota
14/12/2020,20, Cota
14/12/2020,20, Diego
14/12/2020,20, Cota
14/12/2020,20, Cota
14/12/2020,21, Nato
14/12/2020,21, Diego
14/12/2020,21, Diego
14/12/2020,21, Nato
14/12/2020,21, Diego
14/12/2020,21, Cota
14/12/2020,21, Diego
14/12/2020,21, Diego
14/12/2020,21, Diego
14/12/2020,21, Diego
14/12/2020,21, Diego
14/12/2020,21, Cota
14/12/2020,22, Diego
14/12/2020,22, Cota
14/12/2020,22, Cota
15/12/2020,11, Diego
15/12/2020,11, Cota
15/12/2020,11, Cota
15/12/2020,12, Diego
15/12/2020,12, Nato
15/12/2020,12, Nato
15/12/2020,12, Diego
15/12/2020,13, Pelusa
15/12/2020,13, Pelusa
15/12/2020,13, Pelusa
15/12/2020,13, Pelusa
15/12/2020,13, Diego
15/12/2020,13, Diego
15/12/2020,13, Cota
15/12/2020,13, Diego
15/12/2020,13, Pelusa
15/12/2020,13, Diego
15/12/2020,13, Diego
15/12/2020,13, Diego
15/12/2020,13, Pelusa
15/12/2020,13, Pelusa
15/12/2020,13, Pelusa
15/12/2020,15, Diego
15/12/2020,15, Diego
15/12/2020,15, Diego
15/12/2020,16, Pelusa
15/12/2020,16, Pelusa
15/12/2020,16, Pelusa
15/12/2020,16, Pelusa
15/12/2020,16, Diego
15/12/2020,16, Diego
15/12/2020,16, Diego
15/12/2020,16, Pelusa
15/12/2020,16, Pelusa
15/12/2020,16, Diego
15/12/2020,16, Diego
15/12/2020,16, Pelusa
15/12/2020,16, Diego
15/12/2020,16, Diego
15/12/2020,16, Cota
15/12/2020,17, Nato
15/12/2020,17, Nato
15/12/2020,17, Pelusa
15/12/2020,17, Pelusa
15/12/2020,17, Nato
15/12/2020,17, Cota
15/12/2020,17, Cota
15/12/2020,17, Cota
15/12/2020,17, Nato
15/12/2020,17, Cota
15/12/2020,17, Cota
15/12/2020,17, Cota
15/12/2020,17, Nato
15/12/2020,17, Nato
15/12/2020,18, Pelusa
15/12/2020,18, Pelusa
15/12/2020,18, Diego
15/12/2020,21, Diego
16/12/2020,11, Cota
16/12/2020,11, Cota
16/12/2020,12, Diego
16/12/2020,12, Diego
16/12/2020,12, Diego
16/12/2020,12, Diego
16/12/2020,12, Pelusa
16/12/2020,12, Pelusa
16/12/2020,12, Diego
16/12/2020,12, Diego
16/12/2020,12, Diego
16/12/2020,12, Pelusa
16/12/2020,12, Pelusa
16/12/2020,12, Pelusa
16/12/2020,12, Diego
16/12/2020,12, Diego
16/12/2020,12, Diego
16/12/2020,12, Pelusa
16/12/2020,12, Pelusa
16/12/2020,13, Diego
16/12/2020,13, Diego
16/12/2020,13, Diego
16/12/2020,13, Cota
16/12/2020,13, Cota
16/12/2020,13, Cota
16/12/2020,13, Cota
16/12/2020,13, Pelusa
16/12/2020,13, Pelusa
16/12/2020,13, Cota
16/12/2020,13, Pelusa
16/12/2020,13, Pelusa
16/12/2020,13, Cota
16/12/2020,13, Diego
16/12/2020,13, Diego
16/12/2020,13, Diego
16/12/2020,13, Diego
16/12/2020,13, Cota
16/12/2020,20, Nato
16/12/2020,20, Nato
17/12/2020,09, Diego
17/12/2020,10, Diego
17/12/2020,10, Nato
17/12/2020,10, Nato
17/12/2020,10, Nato
17/12/2020,10, Diego
17/12/2020,10, Diego
17/12/2020,10, Diego
17/12/2020,10, Nato
17/12/2020,10, Nato
17/12/2020,10, Diego
17/12/2020,10, Diego
17/12/2020,11, Nato
17/12/2020,11, Diego
17/12/2020,11, Cota
17/12/2020,11, Cota
17/12/2020,11, Cota
17/12/2020,11, Cota
17/12/2020,11, Cota
17/12/2020,11, Cota
17/12/2020,11, Diego
17/12/2020,11, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,14, Diego
17/12/2020,15, Cota
17/12/2020,15, Cota
17/12/2020,15, Cota
17/12/2020,15, Cota
17/12/2020,15, Diego
17/12/2020,15, Diego
17/12/2020,15, Nato
17/12/2020,15, Nato
17/12/2020,15, Cota
17/12/2020,19, Cota
17/12/2020,19, Diego
17/12/2020,20, Nato
17/12/2020,20, Nato
17/12/2020,20, Nato
17/12/2020,20, Pelusa
17/12/2020,20, Cota
17/12/2020,20, Cota
17/12/2020,20, Nato
17/12/2020,20, Cota
17/12/2020,20, Diego
18/12/2020,12, Diego
18/12/2020,12, Diego
18/12/2020,12, Cota
18/12/2020,12, Cota
18/12/2020,12, Diego
18/12/2020,13, Pelusa
18/12/2020,17, Pelusa
18/12/2020,17, Diego
18/12/2020,17, Pelusa
18/12/2020,17, Nato
18/12/2020,17, Cota
18/12/2020,17, Pelusa
18/12/2020,17, Diego
18/12/2020,17, Pelusa
18/12/2020,17, Diego
18/12/2020,17, Pelusa
18/12/2020,17, Diego
18/12/2020,17, Pelusa
18/12/2020,17, Cota
18/12/2020,18, Cota
18/12/2020,18, Cota
18/12/2020,20, Nato
18/12/2020,20, Nato
18/12/2020,20, Nato
18/12/2020,20, Nato
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Nato
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Cota
18/12/2020,20, Pelusa
18/12/2020,20, Nato
18/12/2020,20, Nato
18/12/2020,20, Pelusa
18/12/2020,20, Nato
18/12/2020,20, Cota
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Pelusa
18/12/2020,20, Cota
18/12/2020,21, Nato
18/12/2020,21, Nato
19/12/2020,02, Pelusa
19/12/2020,02, Pelusa
19/12/2020,02, Pelusa
19/12/2020,03, Cota
19/12/2020,03, Cota
19/12/2020,03, Cota
19/12/2020,08, Diego
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Nato
19/12/2020,12, Cota
19/12/2020,12, Pelusa
19/12/2020,12, Pelusa
19/12/2020,13, Pelusa
19/12/2020,13, Pelusa
19/12/2020,13, Nato
19/12/2020,13, Nato
19/12/2020,14, Cota
19/12/2020,17, Diego
19/12/2020,17, Diego
19/12/2020,17, Diego
19/12/2020,18, Pelusa
19/12/2020,18, Pelusa
19/12/2020,18, Pelusa
19/12/2020,18, Pelusa
19/12/2020,18, Pelusa
19/12/2020,18, Diego
19/12/2020,19, Nato
20/12/2020,18, Diego
20/12/2020,18, Diego
20/12/2020,18, Diego
20/12/2020,18, Cota
20/12/2020,18, Cota
20/12/2020,19, Diego
20/12/2020,19, Diego
20/12/2020,20, Cota
20/12/2020,22, Nato
20/12/2020,23, Cota
20/12/2020,23, Cota
20/12/2020,23, Cota
20/12/2020,23, Cota
20/12/2020,23, Diego
20/12/2020,23, Cota
20/12/2020,23, Diego
20/12/2020,23, Cota
20/12/2020,23, Cota
20/12/2020,23, Diego
20/12/2020,23, Diego
20/12/2020,23, Diego
20/12/2020,23, Cota
20/12/2020,23, Cota
20/12/2020,23, Cota
20/12/2020,23, Nato
21/12/2020,00, Cota
21/12/2020,00, Cota
21/12/2020,00, Cota
21/12/2020,10, Diego
21/12/2020,16, Diego
21/12/2020,16, Cota
21/12/2020,16, Nato
21/12/2020,16, Cota
21/12/2020,16, Cota
21/12/2020,16, Diego
21/12/2020,16, Diego
21/12/2020,16, Pelusa
21/12/2020,16, Diego
21/12/2020,17, Cota
21/12/2020,17, Pelusa
21/12/2020,17, Pelusa
21/12/2020,18, Cota
21/12/2020,18, Cota
21/12/2020,18, Cota
21/12/2020,18, Cota
21/12/2020,18, Diego
21/12/2020,18, Cota
21/12/2020,20, Cota
21/12/2020,20, Cota
21/12/2020,20, Cota
21/12/2020,21, Pelusa
21/12/2020,21, Pelusa
21/12/2020,21, Cota
21/12/2020,21, Cota
22/12/2020,14, Cota
22/12/2020,14, Cota
22/12/2020,14, Cota
22/12/2020,15, Diego
22/12/2020,15, Diego
22/12/2020,15, Cota
22/12/2020,15, Cota
22/12/2020,16, Pelusa
22/12/2020,16, Pelusa
22/12/2020,16, Pelusa
22/12/2020,16, Cota
22/12/2020,16, Cota
22/12/2020,16, Cota
22/12/2020,17, Cota
22/12/2020,17, Diego
22/12/2020,18, Nato
22/12/2020,23, Cota
23/12/2020,00, Nato
23/12/2020,00, Nato
23/12/2020,00, Nato
23/12/2020,09, Diego
23/12/2020,09, Diego
23/12/2020,10, Nato
23/12/2020,10, Pelusa
23/12/2020,10, Cota
23/12/2020,11, Nato
23/12/2020,11, Cota
23/12/2020,11, Cota
23/12/2020,11, Cota
23/12/2020,12, Diego
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Nato
23/12/2020,12, Nato
23/12/2020,12, Nato
23/12/2020,12, Diego
23/12/2020,12, Pelusa
23/12/2020,12, Nato
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Diego
23/12/2020,12, Diego
23/12/2020,12, Pelusa
23/12/2020,12, Pelusa
23/12/2020,12, Diego
23/12/2020,12, Diego
23/12/2020,12, Pelusa
23/12/2020,12, Nato
23/12/2020,12, Nato
23/12/2020,12, Nato
23/12/2020,12, Diego
23/12/2020,13, Cota
23/12/2020,13, Nato
23/12/2020,22, Pelusa
23/12/2020,22, Pelusa
23/12/2020,22, Diego
23/12/2020,22, Diego
23/12/2020,22, Pelusa
23/12/2020,22, Diego
23/12/2020,22, Cota
23/12/2020,23, Nato
24/12/2020,00, Diego
24/12/2020,00, Diego
24/12/2020,00, Pelusa
24/12/2020,11, Diego
24/12/2020,11, Diego
24/12/2020,13, Nato
25/12/2020,00, Cota
25/12/2020,00, Cota
25/12/2020,00, Diego
25/12/2020,00, Diego
25/12/2020,00, Pelusa
25/12/2020,01, Nato
26/12/2020,12, Nato
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Nato
26/12/2020,12, Nato
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Nato
26/12/2020,12, Nato
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Diego
26/12/2020,12, Nato
26/12/2020,12, Nato
26/12/2020,12, Nato
26/12/2020,12, Diego
26/12/2020,12, Pelusa
26/12/2020,12, Pelusa
26/12/2020,12, Pelusa
26/12/2020,14, Cota
26/12/2020,14, Cota
26/12/2020,14, Cota
26/12/2020,14, Cota
26/12/2020,14, Nato
26/12/2020,14, Nato
26/12/2020,14, Nato
26/12/2020,15, Pelusa
26/12/2020,15, Pelusa
26/12/2020,15, Diego
26/12/2020,15, Diego
26/12/2020,15, Nato
26/12/2020,15, Nato
26/12/2020,15, Nato
26/12/2020,15, Nato
26/12/2020,16, Diego
26/12/2020,16, Pelusa
26/12/2020,16, Pelusa
26/12/2020,16, Diego
26/12/2020,16, Diego
26/12/2020,16, Cota
26/12/2020,16, Cota
26/12/2020,16, Nato
26/12/2020,16, Nato
26/12/2020,16, Nato
26/12/2020,20, Diego
26/12/2020,20, Diego
26/12/2020,20, Diego
26/12/2020,20, Diego
26/12/2020,20, Diego
26/12/2020,20, Cota
26/12/2020,20, Cota
26/12/2020,20, Cota
26/12/2020,21, Nato
26/12/2020,21, Nato
26/12/2020,21, Nato
26/12/2020,21, Nato
26/12/2020,22, Diego
26/12/2020,22, Diego
26/12/2020,22, Diego
26/12/2020,22, Pelusa
26/12/2020,22, Pelusa
26/12/2020,22, Pelusa
26/12/2020,22, Nato
26/12/2020,22, Nato
26/12/2020,22, Pelusa
26/12/2020,22, Pelusa
26/12/2020,22, Pelusa
26/12/2020,22, Pelusa
26/12/2020,22, Diego
26/12/2020,22, Diego
